# Weather station Belgrade, Serbia, WMO_ID=13274,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=13274&lang=en
#
"Local time in Belgrade";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10.05.2020 08:00";"21.0";"747.9";"759.4";"";"53";"Wind blowing from the west-southwest";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"11.1";"";"";"";"";"";"";
"10.05.2020 07:00";"18.1";"748.0";"759.7";"0.7";"61";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"14.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"10.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"9.0";"";"";
"10.05.2020 06:00";"17.8";"747.7";"759.3";"";"63";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"10.5";"";"";"";"";"";"";
"10.05.2020 05:00";"14.6";"747.6";"759.3";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"9.7";"";"";"";"";"";"";
"10.05.2020 04:00";"14.8";"747.3";"759.0";"-0.2";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"9.7";"";"";"";"";"";"";
"10.05.2020 03:00";"15.4";"747.3";"759.0";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"9.4";"";"";"";"";"";"";
"10.05.2020 02:00";"16.2";"747.3";"758.9";"";"61";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"8.6";"";"";"";"";"";"";
"10.05.2020 01:00";"17.1";"747.5";"759.1";"-0.5";"56";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"8.1";"No precipitation";"6";"";"";"";"";
"10.05.2020 00:00";"17.6";"747.7";"759.4";"";"56";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"8.6";"";"";"";"";"";"";
"09.05.2020 23:00";"18.3";"748.0";"759.6";"";"56";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"9.2";"";"";"";"";"";"";
"09.05.2020 22:00";"19.0";"748.0";"759.5";"0.5";"54";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"9.5";"";"";"";"";"";"";
"09.05.2020 21:00";"19.6";"747.9";"759.4";"";"53";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"9.8";"";"";"";"";"";"";
"09.05.2020 20:00";"20.0";"747.7";"759.2";"";"52";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"9.8";"";"";"";"";"";"";
"09.05.2020 19:00";"22.9";"747.5";"758.9";"-0.5";"37";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"27.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"7.4";"No precipitation";"12";"";"";"";"";
"09.05.2020 18:00";"24.8";"747.5";"758.8";"";"32";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"7.0";"";"";"";"";"";"";
"09.05.2020 17:00";"26.0";"747.8";"759.1";"";"30";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"7.2";"";"";"";"";"";"";
"09.05.2020 16:00";"26.4";"748.0";"759.3";"-1.3";"30";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"7.6";"";"";"";"";"";"";
"09.05.2020 15:00";"26.4";"748.3";"759.7";"";"30";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"7.6";"";"";"";"";"";"";
"09.05.2020 14:00";"26.6";"748.8";"760.0";"";"33";"Wind blowing from the north-northwest";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"8.8";"";"";"";"";"";"";
"09.05.2020 13:00";"26.2";"749.3";"760.6";"-1.1";"34";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"9.2";"No precipitation";"6";"";"";"";"";
"09.05.2020 12:00";"25.6";"749.6";"760.9";"";"34";"Wind blowing from the south-southwest";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"8.5";"";"";"";"";"";"";
"09.05.2020 11:00";"24.4";"750.1";"761.5";"";"38";"Wind blowing from the east-southeast";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"9.0";"";"";"";"";"";"";
"09.05.2020 10:00";"23.3";"750.4";"761.9";"-0.2";"36";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"7.2";"";"";"";"";"";"";
"09.05.2020 09:00";"22.2";"750.5";"762.1";"";"34";"Wind blowing from the east-southeast";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"5.6";"";"";"";"";"";"";
"09.05.2020 08:00";"18.8";"750.6";"762.2";"";"51";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"8.5";"";"";"";"";"";"";
"09.05.2020 07:00";"18.2";"750.6";"762.3";"0.4";"44";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"11.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"5.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"6.0";"";"";
"09.05.2020 06:00";"14.2";"750.6";"762.4";"";"59";"Wind blowing from the east-southeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"6.2";"";"";"";"";"";"";
"09.05.2020 05:00";"11.8";"750.4";"762.4";"";"70";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"6.4";"";"";"";"";"";"";
"09.05.2020 04:00";"11.8";"750.2";"762.1";"-0.7";"71";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"6.6";"";"";"";"";"";"";
"09.05.2020 03:00";"11.7";"750.4";"762.3";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"6.2";"";"";"";"";"";"";
"09.05.2020 02:00";"12.3";"750.7";"762.6";"";"67";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"6.2";"";"";"";"";"";"";
"09.05.2020 01:00";"13.3";"750.9";"762.7";"-0.6";"62";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"6.2";"No precipitation";"6";"";"";"";"";
"09.05.2020 00:00";"13.6";"751.2";"763.0";"";"60";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"6.0";"";"";"";"";"";"";
"08.05.2020 23:00";"14.1";"751.5";"763.3";"";"62";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"6.8";"";"";"";"";"";"";
"08.05.2020 22:00";"14.3";"751.5";"763.3";"-0.2";"60";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"6.6";"";"";"";"";"";"";
"08.05.2020 21:00";"15.6";"751.8";"763.6";"";"57";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"7.0";"";"";"";"";"";"";
"08.05.2020 20:00";"16.8";"751.8";"763.5";"";"50";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"6.2";"";"";"";"";"";"";
"08.05.2020 19:00";"18.4";"751.7";"763.4";"-0.8";"43";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"22.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"5.6";"No precipitation";"12";"";"";"";"";
"08.05.2020 18:00";"20.4";"751.7";"763.3";"";"36";"Wind blowing from the south-southwest";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"4.7";"";"";"";"";"";"";
"08.05.2020 17:00";"21.0";"751.9";"763.5";"";"32";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"40.0";"3.8";"";"";"";"";"";"";
"08.05.2020 16:00";"21.6";"752.5";"764.0";"-1.5";"32";"Wind blowing from the south-southwest";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"4.2";"";"";"";"";"";"";
"08.05.2020 15:00";"22.0";"752.9";"764.5";"";"31";"Wind blowing from the west-southwest";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"4.2";"";"";"";"";"";"";
"08.05.2020 14:00";"20.6";"753.6";"765.2";"";"34";"Wind blowing from the north-northwest";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"4.2";"";"";"";"";"";"";
"08.05.2020 13:00";"19.9";"754.0";"765.7";"-1.1";"34";"Wind blowing from the south-southwest";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"3.5";"No precipitation";"6";"";"";"";"";
"08.05.2020 12:00";"20.4";"754.3";"766.0";"";"40";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"6.4";"";"";"";"";"";"";
"08.05.2020 11:00";"18.4";"754.7";"766.4";"";"42";"Wind blowing from the north-northwest";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"5.1";"";"";"";"";"";"";
"08.05.2020 10:00";"17.5";"755.1";"766.9";"0.4";"44";"Wind blowing from the north-northwest";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"4.9";"";"";"";"";"";"";
"08.05.2020 09:00";"16.2";"754.9";"766.8";"";"50";"Wind blowing from the north-west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"5.6";"";"";"";"";"";"";
"08.05.2020 08:00";"14.0";"754.9";"766.9";"";"59";"Wind blowing from the west-northwest";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"6.0";"";"";"";"";"";"";
"08.05.2020 07:00";"11.2";"754.7";"766.7";"1.3";"70";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"8.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"5.8";"No precipitation";"12";"Surface of ground moist.";"4.0";"";"";
"08.05.2020 06:00";"9.3";"754.5";"766.6";"";"85";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.8";"";"";"";"";"";"";
"08.05.2020 05:00";"8.6";"753.8";"765.8";"";"81";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"5.5";"";"";"";"";"";"";
"08.05.2020 04:00";"8.6";"753.4";"765.5";"0.0";"69";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"3.2";"";"";"";"";"";"";
"08.05.2020 02:00";"10.4";"753.5";"765.7";"";"65";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"4.1";"";"";"";"";"";"";
"08.05.2020 01:00";"10.3";"753.4";"765.6";"0.1";"65";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"4.0";"No precipitation";"6";"";"";"";"";
"08.05.2020 00:00";"12.3";"753.4";"765.4";"";"60";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"4.7";"";"";"";"";"";"";
"07.05.2020 23:00";"13.1";"753.4";"765.4";"";"55";"Wind blowing from the west-southwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"less than 0.1";"4.2";"";"";"";"";"";"";
"07.05.2020 22:00";"13.6";"753.3";"765.1";"0.9";"52";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"3.8";"";"";"";"";"";"";
"07.05.2020 21:00";"14.1";"753.1";"765.0";"";"48";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"3.3";"";"";"";"";"";"";
"07.05.2020 20:00";"16.1";"752.8";"764.5";"";"43";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"3.6";"";"";"";"";"";"";
"07.05.2020 19:00";"17.3";"752.4";"764.2";"0.5";"39";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"20.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"3.0";"No precipitation";"12";"";"";"";"";
"07.05.2020 18:00";"19.1";"752.2";"763.8";"";"33";"Wind blowing from the west-northwest";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"2.3";"";"";"";"";"";"";
"07.05.2020 17:00";"19.6";"751.9";"763.6";"";"31";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"2.0";"";"";"";"";"";"";
"07.05.2020 16:00";"20.1";"751.9";"763.6";"-0.4";"30";"Wind blowing from the north-west";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"2.0";"";"";"";"";"";"";
"07.05.2020 15:00";"19.8";"752.0";"763.6";"";"31";"Wind blowing from the north-west";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"2.0";"";"";"";"";"";"";
"07.05.2020 14:00";"19.2";"752.3";"763.9";"";"34";"Wind blowing from the north-northwest";"4";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"3.0";"";"";"";"";"";"";
"07.05.2020 13:00";"19.2";"752.3";"763.9";"-0.3";"34";"Wind blowing from the north-northwest";"4";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"3.0";"No precipitation";"6";"";"";"";"";
"07.05.2020 12:00";"18.2";"752.2";"763.9";"";"37";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"3.3";"";"";"";"";"";"";
"07.05.2020 11:00";"17.1";"752.5";"764.2";"";"41";"Wind blowing from the west-northwest";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"3.8";"";"";"";"";"";"";
"07.05.2020 10:00";"16.3";"752.6";"764.4";"0.5";"45";"Wind blowing from the north-west";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"4.2";"";"";"";"";"";"";
"07.05.2020 09:00";"15.2";"752.6";"764.5";"";"51";"Wind blowing from the north-northwest";"3";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"5.1";"";"";"";"";"";"";
"07.05.2020 08:00";"14.3";"752.5";"764.4";"";"56";"Wind blowing from the north-northwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"5.6";"";"";"";"";"";"";
"07.05.2020 07:00";"11.7";"752.1";"764.0";"0.7";"67";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.8";"";"";"";"";"";"";"20.0";"5.8";"0.1";"12";"Surface of ground moist.";"6.0";"";"";
"07.05.2020 06:00";"9.5";"751.9";"763.9";"";"78";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"5.8";"";"";"";"";"";"";
"07.05.2020 05:00";"9.1";"751.6";"763.7";"";"81";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"6.0";"";"";"";"";"";"";
"07.05.2020 04:00";"9.0";"751.4";"763.5";"-0.2";"78";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"5.3";"";"";"";"";"";"";
"07.05.2020 03:00";"9.0";"751.4";"763.5";"";"76";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"4.9";"";"";"";"";"";"";
"07.05.2020 02:00";"9.6";"751.5";"763.5";"";"75";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"5.3";"";"";"";"";"";"";
"07.05.2020 01:00";"9.5";"751.6";"763.6";"0.3";"75";"Wind blowing from the west";"2";"";"";"70 – 80%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"5.3";"0.1";"6";"";"";"";"";
"07.05.2020 00:00";"10.3";"751.6";"763.6";"";"66";"Wind blowing from the west";"2";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"30.0";"4.2";"";"";"";"";"";"";
