,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action to Next Point
1020,-2,-3,-3,-2,3,2,2,-2,-2,-2,2,3,2,-1,-2,-3,-2,-2,2,2,1
1021,-3,-3,1,2,2,1,-2,-3,-3,2,2,3,3,-1,1,0,0,0,1,0,-1
1022,-3,2,2,2,1,-1,-2,-2,-1,2,2,2,1,-1,-2,3,3,3,3,3,2
1023,-1,1,-1,-1,0,2,2,2,2,-2,-2,2,2,2,1,-2,-3,-2,3,3,3
1024,-2,-2,-3,-3,-2,3,2,2,-2,-2,-2,2,3,2,-1,-2,-3,-2,-2,2,2
1025,-1,-2,0,-2,-1,-1,1,1,0,0,0,0,-1,-1,2,2,2,1,-1,2,2
1026,-2,-2,-1,2,2,2,0,-2,-2,-2,-1,0,-2,0,-3,-1,-2,0,1,-2,-2
1027,-2,-2,-1,2,1,2,-2,-2,-2,-1,0,3,2,1,-1,-3,-2,-1,0,2,2
1028,2,2,0,-1,0,2,2,3,2,1,1,1,-1,3,2,-2,-2,-3,-3,2,2
1029,-3,-2,0,1,-3,-3,-3,-1,1,0,-2,-2,-2,-2,1,0,3,1,0,-1,0
1030,3,-1,-2,-2,-2,-2,-1,-2,0,-2,-1,-1,1,1,0,0,0,0,-1,-1,2
1031,0,0,-2,-2,-2,-1,2,2,2,2,1,-2,-1,1,2,2,-1,-1,-1,0,2
1032,-3,3,1,-2,-3,-2,1,3,3,-2,-3,-3,-3,-3,2,0,1,-3,-3,-3,0
1033,1,1,2,0,-1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,0,0
1034,-1,-2,-1,0,0,1,0,-1,-2,-1,0,1,1,1,-1,-1,-1,0,1,2,-1
1035,3,2,-2,0,2,3,3,-2,-3,-3,-3,2,3,3,3,-3,-3,-3,-3,2,3
1036,2,2,2,-2,-2,-2,0,3,2,-2,-2,-3,-2,2,2,2,1,-2,-2,-2,0
1037,1,-1,-3,-3,-1,-2,1,2,1,1,-2,-2,-2,1,1,0,-1,0,-3,-1,0
1038,2,2,1,-2,-3,-3,2,2,3,3,-1,1,0,0,0,1,0,-1,-1,-1,2
1039,2,0,-2,-2,1,2,2,2,-2,-2,-2,3,3,3,3,-2,-3,-3,-3,2,2
1040,-1,1,-3,-2,0,1,2,1,0,-2,-1,-1,1,1,1,1,-1,-1,0,1,2
1041,-3,-3,-3,1,2,2,-2,-2,-3,-2,-1,1,1,0,-1,-2,-2,-2,1,2,0
1042,-3,-3,-3,-3,-3,-1,-3,-3,-3,-1,2,1,-2,-1,-3,0,0,2,3,2,1
1043,-2,3,3,3,-3,-3,-3,-3,-3,0,2,-2,-3,-3,-3,-3,0,-1,-3,-3,-3
1044,-2,-1,0,-1,-2,-3,-2,-2,2,0,-1,-3,-2,-2,1,2,2,2,-1,-2,-2
1045,-3,-3,-2,0,2,-2,-3,-3,-2,2,3,3,3,-3,-3,-3,0,2,1,-2,-2
1046,2,0,-1,-3,-2,2,2,3,1,-2,-2,-1,2,3,2,1,-1,-3,-2,-2,3
1047,2,2,2,-1,-1,0,0,3,2,2,-1,0,1,2,2,2,0,-3,-2,-2,2
1048,-3,-3,-1,1,0,-2,-2,-2,-2,1,0,3,1,0,-1,0,2,2,-2,-2,-3
1049,-3,-2,-2,0,0,2,1,0,-1,-2,-2,-1,-1,-1,-2,-3,-2,-2,-2,2,2
1050,-2,-2,2,0,0,-1,-1,-1,0,0,0,-1,-1,-1,2,2,2,2,-1,-2,1
1051,-3,-3,-3,1,1,0,-3,-3,-2,0,2,2,0,-1,-2,2,2,2,2,-2,-2
1052,-3,-3,-3,-3,-3,-2,2,2,-1,-2,-2,-2,0,0,3,2,-2,-2,-1,0,1
1053,-3,-2,1,2,3,3,2,-2,-1,-1,3,3,3,2,-2,-3,-3,-3,-1,-1,-3
1054,-3,-3,-3,-3,-1,-3,-3,-3,-1,2,1,-2,-1,-3,0,0,2,3,2,1,-2
1055,3,-2,-2,-2,-2,-1,-2,-2,-3,-3,-2,-2,2,3,3,-1,0,0,0,1,1
1056,-3,-3,-2,0,2,2,0,-1,-2,2,2,2,2,-2,-2,-3,-2,2,2,2,1
1057,-3,-2,-2,-1,-2,-2,-3,-2,-2,2,-1,3,2,2,2,0,3,2,2,-2,-2
1058,3,2,0,-2,-3,-2,-2,-2,3,3,3,-2,-3,-2,-1,3,3,2,1,-3,-3
1059,2,1,-2,0,-3,-1,1,1,2,0,-2,-1,1,1,2,2,1,1,0,1,2
1060,0,-2,-2,1,2,3,2,2,-3,-3,-2,-1,1,2,1,0,-2,1,3,3,3
1061,1,3,1,0,-2,-2,0,1,2,0,-1,-1,-1,1,1,0,0,-3,-2,-2,1
1062,1,-2,-3,-1,2,2,0,-2,-3,-2,-1,3,3,3,2,-3,-3,-3,-1,-1,1
1063,-1,-2,-2,-3,-3,-2,-2,2,3,3,-1,0,0,0,1,1,1,0,0,0,3
