Date,Country,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (indoor),Meeting Friends/Family (outdoor),Domestic Travel,International Travel,Cafes and Restaurants,Pubs and bars,Sports and leisure,Schools Closure,Temperature,Humidity,Nursing & Care Home Visit
4/24/2020,2,78,4318,,0,,0,,,,,,,,,2,0,
4/25/2020,2,70,4388,,0,,0,,,,,,,,,2,0,
4/26/2020,2,68,4456,,0,,0,,,,,,,,,2,1,
4/27/2020,2,63,4519,,0,,0,,,,,,,,,2,1,
4/28/2020,2,60,4579,,0,,0,,,,,,,,,2,1,
4/29/2020,2,58,4637,,0,,0,,,,,,,,,2,1,
4/30/2020,2,56,4693,,0,,0,,,,,,,,,2,1,
05/01/2020,2,48,4741,,0,,0,,,,,,,,,2,1,
05/02/2020,2,35,4776,,0,,0,,,,,,,,,2,1,
05/03/2020,2,38,4814,,0,,0,,,,,,,,,2,1,
05/04/2020,2,37,4851,,0,,0,,,,,,,,,2,1,
05/05/2020,2,39,4890,,0,,0,,,,,,,,,2,1,
05/06/2020,2,38,4928,,0,,0,,,,,,,,,2,1,
05/07/2020,2,34,4962,,0,,0,,,,,,,,,2,0,
05/08/2020,2,50,5012,,0,,0,,,,,,,,,2,1,
05/09/2020,2,42,5054,,0,,0,,,,,,,,,3,1,
05/10/2020,2,38,5092,,0,,0,,,,,,,,,2,1,
05/11/2020,2,46,5138,,0,,0,,,,,,,,,2,1,
05/12/2020,2,45,5183,,0,,0,,,,,,,,,1,1,
5/13/2020,2,59,5242,,0,,0,,,,,,,,,2,1,
5/14/2020,2,43,5285,,0,,0,,,,,,,,,2,1,
5/15/2020,2,53,5338,,0,,0,,,,,,,,,1,1,
5/16/2020,2,59,5397,,0,,0,,,,,,,,,2,1,
5/17/2020,2,49,5446,,0,,0,,,,,,,,,2,1,
5/18/2020,2,37,5483,,0,,0,,,,,,,,,2,1,
5/19/2020,2,39,5522,,0,,0,,,,,,,,,3,1,
5/20/2020,2,41,5563,,0,,0,,,,,,,,,2,1,
5/21/2020,2,51,5614,,0,,0,,,,,,,,,2,0,
5/22/2020,2,34,5648,,0,,0,,,,,,,,,2,0,
5/23/2020,2,44,5692,,0,,0,,,,,,,,,2,1,
5/24/2020,2,36,5728,,0,,0,,,,,,,,,2,1,
5/25/2020,2,33,5761,,0,,0,,,,,,,,,2,1,
5/26/2020,2,30,5791,,0,,0,,,,,,,,,2,1,
5/27/2020,2,25,5816,,0,,0,,,,,,,,,2,1,
5/28/2020,2,28,5844,,0,,0,,,,,,,,,2,1,
5/29/2020,2,32,5876,,0,,0,,,,,,,,,2,1,
5/30/2020,2,41,5917,,0,,0,,,,,,,,,2,1,
5/31/2020,2,33,5950,,0,,0,,,,,,,,,2,1,
06/01/2020,2,23,5973,,0,,0,,,,,,,,,2,1,
06/02/2020,2,12,5985,,0,,0,,,,,,,,,2,1,
06/03/2020,2,21,6006,,0,,0,,,,,,,,,2,1,
06/04/2020,2,26,6032,,0,,0,,,,,,,,,2,1,
06/05/2020,2,43,6075,,0,,0,,,,,,,,,2,1,
06/06/2020,2,39,6114,,0,,0,,,,,,,,,3,1,
06/07/2020,2,43,6157,,0,,0,,,,,,,,,3,1,
06/08/2020,2,28,6185,,0,,0,,,,,,,,,2,1,
06/09/2020,2,27,6212,,0,,0,,,,,,,,,2,1,
06/10/2020,2,23,6235,,0,,0,,,,,,,,,2,1,
06/11/2020,2,25,6260,,0,,0,,,,,,,,,2,1,
