Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
2,158,3,2,2,2,2,2,-1,-1,1,2,2
2,159,2,2,2,2,2,-1,-1,1,2,2,-2
2,160,2,2,2,2,-1,-1,1,2,2,-2,-1
2,161,2,2,2,-1,-1,1,2,2,-2,-1,-1
2,162,2,2,-1,-1,1,2,2,-2,-1,-1,-1
2,163,2,-1,-1,1,2,2,-2,-1,-1,-1,1
2,164,-1,-1,1,2,2,-2,-1,-1,-1,1,-3
2,165,-1,1,2,2,-2,-1,-1,-1,1,-3,1
2,166,1,2,2,-2,-1,-1,-1,1,-3,1,-2
2,167,2,2,-2,-1,-1,-1,1,-3,1,-2,-2
2,168,2,-2,-1,-1,-1,1,-3,1,-2,-2,-3
2,169,-2,-1,-1,-1,1,-3,1,-2,-2,-3,-3
2,170,-1,-1,-1,1,-3,1,-2,-2,-3,-3,-1
2,171,-1,-1,1,-3,1,-2,-2,-3,-3,-1,2
2,172,-1,1,-3,1,-2,-2,-3,-3,-1,2,0
2,173,1,-3,1,-2,-2,-3,-3,-1,2,0,3
2,174,-3,1,-2,-2,-3,-3,-1,2,0,3,0
2,175,1,-2,-2,-3,-3,-1,2,0,3,0,-1
2,176,-2,-2,-3,-3,-1,2,0,3,0,-1,2
2,177,-2,-3,-3,-1,2,0,3,0,-1,2,2
2,178,-3,-3,-1,2,0,3,0,-1,2,2,3
2,179,-3,-1,2,0,3,0,-1,2,2,3,3
2,180,-1,2,0,3,0,-1,2,2,3,3,3
2,181,2,0,3,0,-1,2,2,3,3,3,2
2,182,0,3,0,-1,2,2,3,3,3,2,-2
2,183,3,0,-1,2,2,3,3,3,2,-2,-2
2,184,0,-1,2,2,3,3,3,2,-2,-2,-2
2,185,-1,2,2,3,3,3,2,-2,-2,-2,-2
2,186,2,2,3,3,3,2,-2,-2,-2,-2,2
2,187,2,3,3,3,2,-2,-2,-2,-2,2,1
