Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action to Next Point
3,131,-2,-1,-2,-2,0,-3
3,132,-1,-2,-2,0,-3,0
3,133,-2,-2,0,-3,0,-2
3,134,-2,0,-3,0,-2,1
3,135,0,-3,0,-2,1,2
3,136,-3,0,-2,1,2,2
3,137,0,-2,1,2,2,-2
3,138,-2,1,2,2,-2,-2
3,139,1,2,2,-2,-2,-2
3,140,2,2,-2,-2,-2,-2
3,141,2,-2,-2,-2,-2,-2
3,142,-2,-2,-2,-2,-2,-2
3,143,-2,-2,-2,-2,-2,-1
3,144,-2,-2,-2,-2,-1,1
3,145,-2,-2,-2,-1,1,2
3,146,-2,-2,-1,1,2,-1
3,147,-2,-1,1,2,-1,-2
3,148,-1,1,2,-1,-2,-2
3,149,1,2,-1,-2,-2,-1
3,150,2,-1,-2,-2,-1,1
3,151,-1,-2,-2,-1,1,-2
3,152,-2,-2,-1,1,-2,1
3,153,-2,-1,1,-2,1,2
3,154,-1,1,-2,1,2,2
3,155,1,-2,1,2,2,1
3,156,-2,1,2,2,1,2
3,157,1,2,2,1,2,1
3,158,2,2,1,2,1,2
3,159,2,1,2,1,2,1
3,160,1,2,1,2,1,1
3,161,2,1,2,1,1,-2
3,162,1,2,1,1,-2,-2
3,163,2,1,1,-2,-2,-2
3,164,1,1,-2,-2,-2,-2
3,165,1,-2,-2,-2,-2,-1
3,166,-2,-2,-2,-2,-1,1
3,167,-2,-2,-2,-1,1,1
3,168,-2,-2,-1,1,1,2
3,169,-2,-1,1,1,2,2
3,170,-1,1,1,2,2,2
3,171,1,1,2,2,2,1
3,172,1,2,2,2,1,-2
3,173,2,2,2,1,-2,-2
3,174,2,2,1,-2,-2,-2
3,175,2,1,-2,-2,-2,-2
3,176,1,-2,-2,-2,-2,-2
3,177,-2,-2,-2,-2,-2,-2
3,178,-2,-2,-2,-2,-2,1
3,179,-2,-2,-2,-2,1,0
3,180,-2,-2,-2,1,0,-1
3,181,-2,-2,1,0,-1,-2
3,182,-2,1,0,-1,-2,-2
3,183,1,0,-1,-2,-2,0
3,184,0,-1,-2,-2,0,-3
3,185,-1,-2,-2,0,-3,1
3,186,-2,-2,0,-3,1,-2
3,187,-2,0,-3,1,-2,-2
3,188,0,-3,1,-2,-2,2
3,189,-3,1,-2,-2,2,1
3,190,1,-2,-2,2,1,0
3,191,-2,-2,2,1,0,-1
3,192,-2,2,1,0,-1,-1
3,193,2,1,0,-1,-1,-2
3,194,1,0,-1,-1,-2,-2
3,195,0,-1,-1,-2,-2,-2
3,196,-1,-1,-2,-2,-2,0
3,197,-1,-2,-2,-2,0,2
3,198,-2,-2,-2,0,2,2
3,199,-2,-2,0,2,2,1
3,200,-2,0,2,2,1,1
3,201,0,2,2,1,1,-1
3,202,2,2,1,1,-1,-1
3,203,2,1,1,-1,-1,-1
3,204,1,1,-1,-1,-1,0
3,205,1,-1,-1,-1,0,-2
3,206,-1,-1,-1,0,-2,-2
3,207,-1,-1,0,-2,-2,-2
3,208,-1,0,-2,-2,-2,-2
3,209,0,-2,-2,-2,-2,-2
3,210,-2,-2,-2,-2,-2,-2
3,211,-2,-2,-2,-2,-2,-2
3,212,-2,-2,-2,-2,-2,1
3,213,-2,-2,-2,-2,1,2
3,214,-2,-2,-2,1,2,2
3,215,-2,-2,1,2,2,2
3,216,-2,1,2,2,2,2
3,217,1,2,2,2,2,2
3,218,2,2,2,2,2,2
3,219,2,2,2,2,2,2
3,220,2,2,2,2,2,-2
3,221,2,2,2,2,-2,-2
3,222,2,2,2,-2,-2,1
3,223,2,2,-2,-2,1,-1
3,224,2,-2,-2,1,-1,-2
3,225,-2,-2,1,-1,-2,-2
3,226,-2,1,-1,-2,-2,-1
