Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action to Next Point
1,251,-2,-2,-2,0,-1,-1,0,0,2,2,2,0,1,-1,2,2
1,252,-2,-2,0,-1,-1,0,0,2,2,2,0,1,-1,2,2,2
1,253,-2,0,-1,-1,0,0,2,2,2,0,1,-1,2,2,2,2
1,254,0,-1,-1,0,0,2,2,2,0,1,-1,2,2,2,2,3
1,255,-1,-1,0,0,2,2,2,0,1,-1,2,2,2,2,3,2
1,256,-1,0,0,2,2,2,0,1,-1,2,2,2,2,3,2,2
1,257,0,0,2,2,2,0,1,-1,2,2,2,2,3,2,2,2
1,258,0,2,2,2,0,1,-1,2,2,2,2,3,2,2,2,1
1,259,2,2,2,0,1,-1,2,2,2,2,3,2,2,2,1,0
1,260,2,2,0,1,-1,2,2,2,2,3,2,2,2,1,0,1
1,261,2,0,1,-1,2,2,2,2,3,2,2,2,1,0,1,-1
1,262,0,1,-1,2,2,2,2,3,2,2,2,1,0,1,-1,-2
1,263,1,-1,2,2,2,2,3,2,2,2,1,0,1,-1,-2,-1
1,264,-1,2,2,2,2,3,2,2,2,1,0,1,-1,-2,-1,0
1,265,2,2,2,2,3,2,2,2,1,0,1,-1,-2,-1,0,2
1,266,2,2,2,3,2,2,2,1,0,1,-1,-2,-1,0,2,2
1,267,2,2,3,2,2,2,1,0,1,-1,-2,-1,0,2,2,3
1,268,2,3,2,2,2,1,0,1,-1,-2,-1,0,2,2,3,2
1,269,3,2,2,2,1,0,1,-1,-2,-1,0,2,2,3,2,-2
1,270,2,2,2,1,0,1,-1,-2,-1,0,2,2,3,2,-2,-2
1,271,2,2,1,0,1,-1,-2,-1,0,2,2,3,2,-2,-2,-1
1,272,2,1,0,1,-1,-2,-1,0,2,2,3,2,-2,-2,-1,1
1,273,1,0,1,-1,-2,-1,0,2,2,3,2,-2,-2,-1,1,0
1,274,0,1,-1,-2,-1,0,2,2,3,2,-2,-2,-1,1,0,-2
1,275,1,-1,-2,-1,0,2,2,3,2,-2,-2,-1,1,0,-2,-2
1,276,-1,-2,-1,0,2,2,3,2,-2,-2,-1,1,0,-2,-2,2
1,277,-2,-1,0,2,2,3,2,-2,-2,-1,1,0,-2,-2,2,0
1,278,-1,0,2,2,3,2,-2,-2,-1,1,0,-2,-2,2,0,2
1,279,0,2,2,3,2,-2,-2,-1,1,0,-2,-2,2,0,2,2
1,280,2,2,3,2,-2,-2,-1,1,0,-2,-2,2,0,2,2,2
1,281,2,3,2,-2,-2,-1,1,0,-2,-2,2,0,2,2,2,2
1,282,3,2,-2,-2,-1,1,0,-2,-2,2,0,2,2,2,2,1
1,283,2,-2,-2,-1,1,0,-2,-2,2,0,2,2,2,2,1,-2
1,284,-2,-2,-1,1,0,-2,-2,2,0,2,2,2,2,1,-2,-2
1,285,-2,-1,1,0,-2,-2,2,0,2,2,2,2,1,-2,-2,1
1,286,-1,1,0,-2,-2,2,0,2,2,2,2,1,-2,-2,1,2
1,287,1,0,-2,-2,2,0,2,2,2,2,1,-2,-2,1,2,3
1,288,0,-2,-2,2,0,2,2,2,2,1,-2,-2,1,2,3,-2
1,289,-2,-2,2,0,2,2,2,2,1,-2,-2,1,2,3,-2,-2
1,290,-2,2,0,2,2,2,2,1,-2,-2,1,2,3,-2,-2,-2
1,291,2,0,2,2,2,2,1,-2,-2,1,2,3,-2,-2,-2,-2
1,292,0,2,2,2,2,1,-2,-2,1,2,3,-2,-2,-2,-2,-1
