Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
2,161,3,-2,2,-2,1,-2,-2,-2,-2,-2,-1
2,162,-2,2,-2,1,-2,-2,-2,-2,-2,-1,-2
2,163,2,-2,1,-2,-2,-2,-2,-2,-1,-2,-2
2,164,-2,1,-2,-2,-2,-2,-2,-1,-2,-2,-2
2,165,1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2
2,166,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-3
2,167,-2,-2,-2,-2,-1,-2,-2,-2,-2,-3,2
2,168,-2,-2,-2,-1,-2,-2,-2,-2,-3,2,0
2,169,-2,-2,-1,-2,-2,-2,-2,-3,2,0,-2
2,170,-2,-1,-2,-2,-2,-2,-3,2,0,-2,-2
2,171,-1,-2,-2,-2,-2,-3,2,0,-2,-2,-2
2,172,-2,-2,-2,-2,-3,2,0,-2,-2,-2,-2
2,173,-2,-2,-2,-3,2,0,-2,-2,-2,-2,-2
2,174,-2,-2,-3,2,0,-2,-2,-2,-2,-2,-2
2,175,-2,-3,2,0,-2,-2,-2,-2,-2,-2,-2
2,176,-3,2,0,-2,-2,-2,-2,-2,-2,-2,-2
2,177,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-3
2,178,0,-2,-2,-2,-2,-2,-2,-2,-2,-3,1
2,179,-2,-2,-2,-2,-2,-2,-2,-2,-3,1,-1
2,180,-2,-2,-2,-2,-2,-2,-2,-3,1,-1,2
2,181,-2,-2,-2,-2,-2,-2,-3,1,-1,2,3
2,182,-2,-2,-2,-2,-2,-3,1,-1,2,3,-2
2,183,-2,-2,-2,-2,-3,1,-1,2,3,-2,-2
2,184,-2,-2,-2,-3,1,-1,2,3,-2,-2,-2
2,185,-2,-2,-3,1,-1,2,3,-2,-2,-2,-3
