Total errors 18120

06/14/2020 | Sports and leisure                       | Spain
06/14/2020 | Schools Closure                          | Spain
06/15/2020 | Meeting Friends/Family (indoor)          | Spain
06/15/2020 | Meeting Friends/Family (outdoor)         | Spain
06/15/2020 | Domestic Travel                          | Spain
06/15/2020 | Cafes and Restaurants                    | Spain
06/15/2020 | Pubs and bars                            | Spain
06/15/2020 | Sports and leisure                       | Spain
06/15/2020 | Schools Closure                          | Spain
06/16/2020 | Meeting Friends/Family (indoor)          | Spain
06/16/2020 | Meeting Friends/Family (outdoor)         | Spain
06/16/2020 | Domestic Travel                          | Spain
06/16/2020 | Cafes and Restaurants                    | Spain
06/16/2020 | Pubs and bars                            | Spain
06/16/2020 | Sports and leisure                       | Spain
06/16/2020 | Schools Closure                          | Spain
06/17/2020 | Meeting Friends/Family (indoor)          | Spain
06/17/2020 | Meeting Friends/Family (outdoor)         | Spain
06/17/2020 | Domestic Travel                          | Spain
06/17/2020 | Cafes and Restaurants                    | Spain
06/17/2020 | Pubs and bars                            | Spain
06/17/2020 | Sports and leisure                       | Spain
06/17/2020 | Schools Closure                          | Spain
06/18/2020 | Meeting Friends/Family (indoor)          | Spain
06/18/2020 | Meeting Friends/Family (outdoor)         | Spain
06/18/2020 | Domestic Travel                          | Spain
06/18/2020 | Cafes and Restaurants                    | Spain
06/18/2020 | Pubs and bars                            | Spain
06/18/2020 | Sports and leisure                       | Spain
06/18/2020 | Schools Closure                          | Spain
06/19/2020 | Meeting Friends/Family (indoor)          | Spain
06/19/2020 | Meeting Friends/Family (outdoor)         | Spain
06/19/2020 | Domestic Travel                          | Spain
06/19/2020 | Cafes and Restaurants                    | Spain
06/19/2020 | Pubs and bars                            | Spain
06/19/2020 | Sports and leisure                       | Spain
06/19/2020 | Schools Closure                          | Spain
06/20/2020 | Meeting Friends/Family (indoor)          | Spain
06/20/2020 | Meeting Friends/Family (outdoor)         | Spain
06/20/2020 | Domestic Travel                          | Spain
06/20/2020 | Cafes and Restaurants                    | Spain
06/20/2020 | Pubs and bars                            | Spain
06/20/2020 | Sports and leisure                       | Spain
06/20/2020 | Schools Closure                          | Spain
06/21/2020 | Meeting Friends/Family (indoor)          | Spain
06/21/2020 | Meeting Friends/Family (outdoor)         | Spain
06/21/2020 | Domestic Travel                          | Spain
06/21/2020 | Cafes and Restaurants                    | Spain
06/21/2020 | Pubs and bars                            | Spain
06/21/2020 | Sports and leisure                       | Spain
06/21/2020 | Schools Closure                          | Spain
06/22/2020 | Meeting Friends/Family (indoor)          | Spain
06/22/2020 | Meeting Friends/Family (outdoor)         | Spain
06/22/2020 | Domestic Travel                          | Spain
06/22/2020 | Cafes and Restaurants                    | Spain
06/22/2020 | Pubs and bars                            | Spain
06/22/2020 | Sports and leisure                       | Spain
06/22/2020 | Schools Closure                          | Spain
06/23/2020 | Meeting Friends/Family (indoor)          | Spain
06/23/2020 | Meeting Friends/Family (outdoor)         | Spain
06/23/2020 | Domestic Travel                          | Spain
06/23/2020 | Cafes and Restaurants                    | Spain
