Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor),Meeting Friends/Family (Outdoor),Domestic Travel,International Travel,Cafes and Restaurants,Pubs and Bars,Sports and Leisure,Hospitals/ Care and Nursing Home Visits,Non-Essential Shops,School Closure,Temperature,Humidity
1,187,3730,66,652,187,3730,3,3,3,3,3,3,3,3,1,1,2,1
1,228,3543,48,586,228,3543,3,3,3,3,3,3,3,3,1,1,2,1
1,215,3315,67,538,215,3315,3,3,3,3,3,3,3,3,1,1,2,1
1,149,3100,61,471,149,3100,3,3,3,3,3,3,3,3,1,1,2,1
1,189,2951,52,410,189,2951,3,3,3,3,3,3,3,3,1,1,1,1
1,259,2762,53,358,259,2762,3,3,3,3,3,3,3,3,1,1,1,1
1,213,2503,43,305,213,2503,3,3,3,3,3,3,3,3,1,1,1,1
1,296,2290,45,262,296,2290,3,3,3,3,3,3,3,3,1,1,1,1
1,277,1994,36,217,277,1994,3,3,3,3,3,3,3,3,1,1,1,1
1,206,1717,25,181,206,1717,3,3,3,3,3,3,3,3,1,1,1,1
1,129,1511,25,156,129,1511,3,3,3,3,3,3,3,3,1,1,1,1
1,158,1382,23,131,158,1382,3,3,3,3,3,3,3,3,1,1,1,1
1,137,1224,21,108,137,1224,3,3,3,3,3,3,3,3,1,1,1,1
1,154,1087,18,87,154,1087,3,3,3,3,3,3,3,3,1,1,1,1
1,116,933,12,69,116,933,3,3,3,3,3,3,3,3,1,1,1,1
1,135,817,14,57,135,817,3,3,3,3,3,3,3,3,1,1,1,1
1,117,682,11,43,117,682,3,3,3,3,3,3,3,3,1,1,1,1
1,99,565,14,32,99,565,1,1,1,1,1,1,1,1,0,1,1,1
1,69,466,2,18,69,466,1,1,1,1,1,1,1,1,0,1,1,1
1,53,397,4,16,53,397,1,1,1,1,1,1,1,1,0,0,1,1
1,66,344,1,12,66,344,1,1,1,1,1,1,1,1,0,0,1,1
1,48,278,3,11,48,278,1,1,1,1,1,1,1,1,0,0,1,2
1,33,230,0,8,33,230,1,1,1,1,1,1,1,1,0,0,1,2
1,34,197,4,8,34,197,1,1,1,1,1,1,1,1,0,0,1,1
1,26,163,0,4,26,163,1,1,1,1,1,1,1,1,0,0,1,2
1,19,137,1,4,19,137,1,1,1,1,1,1,1,1,0,0,1,2
1,22,118,1,3,22,118,1,1,1,1,1,1,1,1,0,0,1,1
1,17,96,1,2,17,96,1,1,1,1,1,1,1,1,0,0,1,1
1,25,79,0,1,25,79,1,1,1,1,1,1,1,1,0,0,1,1
1,12,54,0,1,12,54,1,1,1,1,1,1,1,1,0,0,2,2
1,10,42,0,1,10,42,1,1,1,1,1,1,1,1,0,0,1,2
1,1,32,0,1,1,32,1,1,1,1,1,1,1,1,0,0,1,1
1,5,31,0,1,5,31,1,1,1,1,1,1,1,1,0,0,1,2
1,7,26,0,1,7,26,1,1,1,1,1,1,1,1,0,0,1,1
