Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor) (Low),Meeting Friends/Family (Indoor) (Moderate),Meeting Friends/Family (Indoor) (High),Meeting Friends/Family (Outdoor) (Low),Meeting Friends/Family (Outdoor) (Moderate),Meeting Friends/Family (Outdoor) (High),Domestic Travel (Low),Domestic Travel (Moderate),Domestic Travel (High),International Travel (Low),International Travel (Moderate),International Travel (High),Cafes and Restaurants (Low),Cafes and Restaurants (Moderate),Cafes and Restaurants (High),Pubs and Bars (Low),Pubs and Bars (Moderate),Pubs and Bars (High),Sports and Leisure (Low),Sports and Leisure (Moderate),Sports and Leisure (High),School Closure,Non-Essential Shops,Hospitals/ Care and Nursing Home Visits (Low),Hospitals/ Care and Nursing Home Visits (Moderate),Hospitals/ Care and Nursing Home Visits (High),Temperature,Humidity,Rt
1,216,29651,1,2966,206,29639,35,30,0,35,30,0,35,0,0,35,30,0,35,0,0,35,0,0,35,0,0,0,0,35,30,0,2,1,1.0675860170664708
1,177,29435,1,2965,200,29433,35,30,0,35,30,0,35,0,0,35,30,0,35,0,0,35,0,0,35,0,0,0,0,35,30,0,2,1,0.8604668388814976
1,154,29258,1,2964,123,29233,35,30,0,35,30,0,35,0,0,35,30,0,35,0,0,35,0,0,35,0,0,0,0,35,30,0,2,1,0.7831368853760519
1,161,29104,3,2963,141,29110,35,29,0,35,29,0,35,0,0,35,29,0,35,0,0,35,0,0,35,0,0,0,0,35,29,0,2,1,0.7831368853760519
1,189,28943,0,2960,218,28969,34,29,0,34,29,0,34,0,0,34,29,0,34,0,0,34,0,0,34,0,0,0,0,34,29,0,2,1,0.9529932658424464
1,225,28754,0,2960,207,28751,34,29,0,34,29,0,34,0,0,34,29,0,34,0,0,34,0,0,34,0,0,0,0,34,29,0,2,1,1.2080193725915807
1,257,28529,1,2960,252,28544,34,29,0,34,29,0,34,0,0,34,29,0,34,0,0,34,0,0,34,0,0,0,0,34,29,0,2,1,1.5017315782348346
1,302,28272,0,2959,311,28292,34,29,0,34,29,0,34,0,0,34,29,0,34,0,0,34,0,0,34,0,0,0,0,34,29,0,2,2,1.8503462413286877
1,263,27970,1,2959,343,27981,34,29,0,34,29,0,34,0,0,34,29,0,34,0,0,34,0,0,34,0,0,0,0,34,29,0,2,2,1.8503462413286877
1,215,27707,1,2958,135,27638,34,28,0,34,28,0,34,0,0,34,28,0,34,0,0,34,0,0,34,0,0,0,0,34,28,0,2,2,1.6430414448981256
1,161,27492,0,2957,166,27503,33,28,0,33,28,0,33,0,0,33,28,0,33,0,0,33,0,0,33,0,0,0,0,33,28,0,2,1,1.6430414448981256
1,193,27331,2,2957,182,27337,33,28,0,33,28,0,33,0,0,33,28,0,33,0,0,33,0,0,33,0,0,0,0,33,28,0,2,1,1.818128877895521
1,220,27138,0,2955,233,27155,33,28,0,33,28,0,33,0,0,33,28,0,33,0,0,33,0,0,33,0,0,0,0,33,28,0,2,1,2.360148916523958
1,212,26918,1,2955,244,26922,33,28,0,33,28,0,33,0,0,33,28,0,33,0,0,33,0,0,33,0,0,0,0,33,28,0,2,2,2.360148916523958
1,163,26706,0,2954,158,26678,33,28,0,33,28,0,33,0,0,33,28,0,33,0,0,33,0,0,33,0,0,0,0,33,28,0,2,1,2.0366795572656784
1,102,26543,1,2952,87,26520,33,27,0,33,27,0,33,0,0,33,27,0,33,0,0,33,0,0,33,0,0,0,0,33,27,0,2,1,1.2731805118283757
1,65,26441,2,2951,61,26433,32,27,0,32,27,0,32,0,0,32,27,0,32,0,0,32,0,0,32,0,0,0,0,32,27,0,2,1,0.8335321467773859
1,69,26376,0,2949,49,26372,32,27,0,32,27,0,32,0,0,32,27,0,32,0,0,32,0,0,32,0,0,0,0,32,27,0,2,2,0.8335321467773859
1,76,26307,0,2949,96,26323,32,27,0,32,27,0,32,0,0,32,27,0,32,0,0,32,0,0,32,0,0,0,0,32,27,0,2,2,0.9093649225503092
